ElapsedTime MemUsed
9.348989258 132.559
9.412039985 133.242
9.475716350 133.844
9.539318389 134.391
9.603011644 134.906
9.666884036 135.727
9.730991493 136.133
9.794613230 136.711
9.858446686 137.367
9.921817698 137.988
9.985511328 138.613
10.049963393 139.125
10.114197157 139.93
10.178128226 140.559
10.242578900 141.164
10.306217475 141.766
10.369907356 142.332
10.433087148 142.938
10.496898874 143.59
10.560762995 144.195
10.624274591 144.805
10.687992456 145.406
10.751947814 146
10.815624918 146.602
10.879337487 147.449
10.943030120 148.02
11.006965684 148.742
11.070636751 149.332
11.134263744 150.027
11.197908087 150.664
11.262240610 151.258
11.325731095 151.77
11.389228009 152.5
11.453094998 152.926
11.516449230 153.578
11.580425025 154.172
11.643863107 154.777
11.708121084 155.336
11.771943407 156.109
11.835173245 156.719
11.898796761 157.301
11.962705116 157.676
12.026085157 158.523
12.089837261 158.867
12.153434863 159.797
12.217051257 160.438
12.280812717 160.949
12.344076783 161.715
12.408074195 162.32
12.471679735 162.883
12.535072748 163.535
12.599103054 164.137
12.663048884 164.684
12.726640871 165.336
12.790230123 165.98
12.853775919 166.559
12.917467229 167.277
12.981587073 167.934
13.044919387 168.832
13.108459707 169.488
13.172164237 170.105
13.235453148 170.711
13.299382186 171.316
13.362727938 172.074
13.426484745 172.746
13.489950305 173.414
13.553168301 174.035
13.617263658 174.633
13.681353961 175.242
13.745362200 175.754
13.810651508 176.012
13.875648133 176.691
13.939291388 177.34
14.003110210 177.895
14.066352817 178.551
14.130046956 179.105
14.193727091 179.707
14.257641933 180.359
14.321414282 180.961
14.385505977 181.516
14.448655066 182.168
14.512314846 182.762
14.576431524 183.359
14.640137660 183.949
14.709378748 184.566
14.772877174 185.398
14.836731825 186.098
14.901043414 186.797
14.964311518 187.398
15.028060960 187.996
15.091958600 188.59
15.155552038 189.148
15.219529278 189.797
15.283346734 190.402
15.347207732 191.004
15.410771533 191.609
15.473946082 192.215
15.537552323 192.809
15.601628999 193.402
15.665073954 193.953
15.728993488 194.605
15.792684911 195.211
15.856101317 195.77
15.919956321 196.445
15.983148876 197.219
16.047322596 197.836
16.111072997 198.504
16.174321170 199.09
16.237613289 199.77
16.301606294 200.543
16.365064144 201.371
16.428800157 202.145
16.492385937 202.66
16.555961361 203.387
16.619968748 204.055
16.683417308 204.699
16.747307722 205.59
16.811555196 206.309
16.874902922 206.879
16.938518177 207.594
17.002369623 208.363
17.065806103 208.871
17.129608240 209.434
17.192716195 210.039
17.256544937 210.691
17.320266662 211.301
17.383537173 211.906
17.447369938 212.516
17.511227690 213.375
17.574725730 214.027
17.638342503 214.406
17.701830927 215.188
17.765456720 215.535
17.828841686 216.133
17.892365520 216.738
17.956190632 217.34
18.019954331 217.941
18.083253671 218.539
18.146919908 219.141
18.210314606 219.77
18.274042655 220.438
18.338022666 221.094
18.401293323 221.727
18.465103913 222.332
18.528577790 222.934
18.591963458 223.746
18.655527638 224.434
18.719766595 225.027
18.786276613 225.281
18.850287759 225.637
18.913661592 226.449
18.977295044 226.836
19.041266171 227.445
19.104602093 228.047
19.168264977 228.605
19.232784884 229.223
19.296513058 229.898
19.360081154 230.523
19.423907623 231.094
19.487567276 231.754
19.551155879 232.16
19.614448416 232.996
19.678018644 233.512
19.742007435 234.039
19.805419324 234.75
19.869348958 235.363
19.933874941 235.918
19.997558321 236.48
20.061183509 237.082
20.125092007 237.562
20.188875059 238.215
20.252569794 238.867
20.316172315 239.758
20.380206069 240.387
20.443761498 241.023
20.506676927 241.754
20.570418736 242.41
20.634461725 243.082
20.698222695 243.664
20.762170764 244.383
20.825689130 245.285
20.889361095 245.66
20.952868438 246.27
21.016133281 246.824
21.079492951 247.48
21.143424777 248.086
21.206941199 248.695
21.270671509 249.293
21.333966115 249.848
21.397853279 250.621
21.462490990 251.391
21.525822047 251.992
21.589754295 252.621
21.653609651 253.285
21.717372972 253.953
21.781007222 254.59
21.844451464 255.195
21.908071652 255.801
21.971652026 256.355
22.035270832 257.004
22.098950086 257.605
22.162523725 258.117
22.225856768 258.77
22.289594239 259.371
22.353438064 259.887
22.417008118 260.578
22.481006134 261.176
22.544236069 261.781
22.608243551 262.379
22.671990342 262.73
22.735574893 263.598
22.799314096 264.191
22.863649191 264.824
22.926918255 265.453
22.990704574 266.102
